id_dep,inicio,fin,es_final,sedes
1,10,13,0,TECNO
2,14.3,17.3,0,YOP
3,11,12.4,0,TECNO
3,13.3,15,0,TECNO
3,15.3,19.15,1,TECNO
5,10,15,0,URBAN
6,9,16.5,0,GREEN
9,14,15.3,0,GREEN
12,14,22,0,TECNO
13,17,19.25,1,YOP
15,14.3,16,0,YOP
15,18,19.3,0,YOP
16,8,18,0,YOP
19,10,11.15,0,YOP
19,17,19.3,1,YOP
20,10,11.3,0,YOP
20,18,19.5,1,YOP
21,10,11.45,0,YOP
21,14,15.45,0,YOP
25,10,18,0,GREEN
26,10,14.3,0,TECNO
26,16,20.3,0,TECNO
27,9,12.3,1,TECNO
27,13.45,16,0,TECNO
29,12,18,1,SAV
30,10,13.2,0,TECNO
30,14.3,17.5,0,TECNO
