conj,id_dep,inicio,fin
1,5,10.0,15.0
1,6,9.0,16.5
1,14,8.3,17.2
1,16,9.3,18.3
1,20,10.0,11.3
1,25,10.0,18.0
1,27,9.0,12.3
1,28,11.0,13.3
1,30,10.0,13.2
2,3,12.0,15.2
2,5,10.0,15.0
2,6,9.0,16.5
2,14,8.3,17.2
2,16,9.3,18.3
2,25,10.0,18.0
2,27,9.0,12.3
2,28,11.0,13.3
2,29,12.0,18.0
2,30,10.0,13.2
3,2,14.3,17.25
3,3,12.0,15.2
3,5,10.0,15.0
3,6,9.0,16.5
3,12,14.0,22.0
3,14,8.3,17.2
3,15,14.3,16.0
3,16,9.3,18.3
3,24,14.0,17.0
3,25,10.0,18.0
3,27,13.45,16.0
3,29,12.0,18.0
3,30,14.3,17.5
4,2,14.3,17.25
4,4,16.15,17.55
4,6,9.0,16.5
4,12,14.0,22.0
4,14,8.3,17.2
4,16,9.3,18.3
4,24,14.0,17.0
4,25,10.0,18.0
4,29,12.0,18.0
4,30,14.3,17.5
5,2,14.3,17.25
5,4,16.15,17.55
5,12,14.0,22.0
5,13,17.0,21.05
5,14,8.3,17.2
5,16,9.3,18.3
5,25,10.0,18.0
5,29,12.0,18.0
5,30,14.3,17.5
6,3,18.0,21.0
6,12,14.0,22.0
6,13,17.0,21.05
6,15,18.0,19.3
6,16,9.3,18.3
6,20,18.0,19.3
7,3,18.0,21.0
7,12,14.0,22.0
7,13,17.0,21.05
7,15,18.0,19.3
7,20,18.0,19.3
7,24,19.0,21.0
